,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,Rating
5253,0,1,0,Contract,,Bachelor's Degree,,Sales,0,13
5254,1,0,0,Contract,Associate,High School or equivalent,Consumer Services,Customer Service,1,10
5255,0,1,1,Full-time,Associate,,Internet,Engineering,0,10
5256,0,1,0,Full-time,,Unspecified,Financial Services,Business Development,0,12
5257,0,0,1,,,,,,0,19
5258,0,0,1,,,,,,0,13
5259,0,0,1,,,,,,0,15
5260,0,0,0,,,,,,0,11
5261,0,0,0,,,,,,0,12
5262,0,0,0,,,,,,0,11
5263,0,1,1,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Health Care Provider,0,10
5264,0,1,1,,Not Applicable,High School or equivalent,Legal Services,Administrative,0,14
5265,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,23
5266,0,1,1,,,,,,0,6
5267,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Other,0,12
5268,1,1,1,Full-time,Not Applicable,,Marketing and Advertising,Sales,0,11
5269,0,1,1,Temporary,Associate,Unspecified,Cosmetics,Sales,0,14
5270,0,0,1,,,,,,0,16
5271,0,1,1,,,,,,0,13
5272,0,1,0,,,,,,0,10
5273,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Engineering,0,0
5274,0,1,0,Full-time,Entry level,Unspecified,Marketing and Advertising,Marketing,0,15
5275,0,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0,12
5276,0,0,1,,,,,,0,11
5277,0,1,1,,,Master's Degree,,Engineering,0,11
5278,1,1,1,,,,Pharmaceuticals,Health Care Provider,0,9
5279,0,1,1,Part-time,,High School or equivalent,Hospital & Health Care,Health Care Provider,0,15
5280,1,1,0,Full-time,Entry level,Unspecified,Food Production,Manufacturing,0,12
5281,0,1,1,,,,,,0,8
5282,0,1,1,Contract,Mid-Senior level,,Marketing and Advertising,Writing/Editing,0,8
5283,0,1,1,Full-time,Executive,,Information Technology and Services,,0,11
5284,0,1,1,,,,,,0,10
5285,0,1,1,,,,,,0,8
5286,0,1,1,,,,,,0,8
5287,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,11
5288,0,1,0,Full-time,Entry level,Unspecified,Marketing and Advertising,Marketing,0,14
5289,0,1,0,Full-time,Entry level,Unspecified,Marketing and Advertising,Management,0,14
5290,1,1,1,,,,,,0,19
5291,0,1,1,Full-time,Associate,High School or equivalent,Entertainment,Administrative,0,13
5292,0,1,1,,,,,,0,8
5293,0,1,1,Full-time,,High School or equivalent,,Health Care Provider,0,12
5294,0,0,1,,,,,,0,9
5295,0,1,1,,,,,,0,16
5296,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
5297,0,1,1,,,,,,0,5
5298,0,1,0,,,,,,1,7
5299,0,1,1,,,,,,0,8
5300,0,0,0,Contract,Mid-Senior level,Unspecified,Information Technology and Services,Engineering,0,7
5301,0,1,0,,,,,,0,10
5302,0,1,0,,,,,,0,8
5303,0,1,1,Contract,,,Design,Design,0,10
5304,0,0,1,,,,,,0,11
5305,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,E-Learning,Information Technology,0,11
5306,0,0,0,,,,,,0,16
5307,0,1,1,,,,,,0,8
5308,0,1,0,Full-time,Director,,Internet,,0,9
5309,0,1,0,Full-time,,Bachelor's Degree,Internet,Administrative,0,14
5310,0,0,0,Full-time,,,,,0,14
5311,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,12
5312,0,1,0,,,,,,0,13
5313,0,1,0,Contract,Associate,Unspecified,Computer Software,Design,0,9
5314,1,1,0,Contract,Mid-Senior level,,Computer Software,Information Technology,0,10
5315,0,1,1,Full-time,Mid-Senior level,Certification,E-Learning,Engineering,0,10
5316,0,1,1,Full-time,Entry level,Unspecified,Computer Software,Information Technology,0,7
5317,0,0,1,,Associate,High School or equivalent,Renewables & Environment,Business Development,0,11
5318,0,1,1,,,,,,0,8
5319,0,1,1,Full-time,Associate,High School or equivalent,Staffing and Recruiting,Business Development,0,11
5320,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Computer Software,Marketing,0,9
5321,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Information Technology,0,9
5322,0,1,0,Temporary,Associate,High School or equivalent,Entertainment,Production,0,19
5323,0,1,1,Full-time,Not Applicable,Bachelor's Degree,Internet,Other,0,14
5324,0,0,0,Full-time,,,Human Resources,,0,13
5325,0,0,1,Full-time,Mid-Senior level,,Information Technology and Services,Information Technology,0,9
5326,0,1,0,Full-time,Not Applicable,Unspecified,Computer Software,Information Technology,0,10
5327,0,1,1,Full-time,,,,Design,0,7
5328,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Health Care Provider,0,10
5329,0,1,0,Other,Internship,,Public Relations and Communications,Other,0,7
5330,1,0,0,,,,,,0,10
5331,0,0,1,,,,,,0,3
5332,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,18
5333,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Media Production,Sales,0,13
5334,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Electrical/Electronic Manufacturing,Engineering,0,6
5335,0,0,1,,Associate,High School or equivalent,Renewables & Environment,Sales,0,10
5336,0,0,0,Full-time,Mid-Senior level,Master's Degree,Import and Export,Marketing,0,7
5337,0,1,1,Full-time,,,,,0,11
5338,0,1,0,Full-time,,,Information Technology and Services,Design,0,11
5339,1,0,1,,,,,,0,10
5340,1,1,1,Full-time,Mid-Senior level,,Internet,Marketing,0,9
5341,0,1,0,Temporary,,Bachelor's Degree,Logistics and Supply Chain,Business Analyst,0,10
5342,0,0,1,,,,,,0,10
5343,0,1,1,,,,Marketing and Advertising,Advertising,0,12
5344,0,1,1,Full-time,Internship,Bachelor's Degree,Marketing and Advertising,Marketing,0,11
5345,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,11
5346,0,1,1,Full-time,Entry level,Bachelor's Degree,Computer Hardware,Administrative,0,13
5347,0,0,1,,,,,,0,8
5348,0,1,1,Full-time,Mid-Senior level,Unspecified,Internet,Design,0,12
5349,0,1,1,,,,,,0,10
5350,0,0,0,,,,,,0,11
5351,0,1,0,Full-time,Associate,High School or equivalent,Consumer Services,Customer Service,0,10
5352,0,1,1,Full-time,Entry level,,Computer Networking,Information Technology,0,14
5353,0,0,0,,,,,,1,17
5354,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,,Information Technology,0,9
5355,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Information Technology,0,10
5356,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Networking,Consulting,0,12
5357,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Goods,Sales,0,14
5358,0,1,1,Full-time,Mid-Senior level,Master's Degree,Information Technology and Services,Consulting,0,7
5359,0,1,0,,,,,,0,12
5360,0,0,0,,,,,,0,5
5361,0,1,1,Temporary,Internship,,Information Technology and Services,Engineering,0,9
5362,0,1,1,Full-time,Not Applicable,High School or equivalent,Insurance,Sales,1,19
5363,1,1,1,,,,Pharmaceuticals,General Business,0,8
5364,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,"Health, Wellness and Fitness",Information Technology,0,6
5365,0,1,1,Full-time,Entry level,Unspecified,Retail,Customer Service,0,11
5366,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,23
5367,1,1,1,Full-time,Not Applicable,High School or equivalent,Computer Games,Writing/Editing,0,6
5368,0,1,1,,Entry level,High School or equivalent,Telecommunications,Customer Service,0,8
5369,0,1,0,Contract,Associate,Unspecified,Computer Software,Design,0,9
5370,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Electrical/Electronic Manufacturing,Engineering,0,10
5371,0,1,1,Full-time,Associate,,Hospital & Health Care,,0,8
5372,0,1,1,,,,,,0,12
5373,0,1,0,Full-time,Internship,High School or equivalent,,Administrative,0,17
5374,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Automotive,Engineering,0,9
5375,0,1,0,Contract,Associate,Bachelor's Degree,Information Technology and Services,Information Technology,0,5
5376,0,0,1,,,,,,0,10
5377,0,1,0,Full-time,Associate,,Hospital & Health Care,Administrative,0,6
5378,0,1,0,Contract,Associate,,Information Technology and Services,Administrative,0,6
5379,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,10
5380,0,1,0,Contract,,Bachelor's Degree,Mental Health Care,,0,13
5381,0,0,1,Part-time,Not Applicable,,Hospitality,,0,11
5382,1,0,0,Full-time,Entry level,Unspecified,Information Technology and Services,Information Technology,0,10
5383,0,1,1,Full-time,,,Information Technology and Services,,0,5
5384,0,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,Business Analyst,0,12
5385,0,1,0,Full-time,Not Applicable,Bachelor's Degree,Human Resources,Human Resources,0,9
5386,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,16
5387,0,1,1,Full-time,Internship,Bachelor's Degree,Logistics and Supply Chain,Supply Chain,0,20
5388,0,1,1,Contract,Entry level,Bachelor's Degree,Education Management,Education,0,20
5389,0,0,0,Full-time,,,,,0,15
5390,0,1,0,Full-time,Associate,Bachelor's Degree,Hospital & Health Care,Sales,0,6
5391,1,1,1,,,,,,0,15
5392,0,1,0,Full-time,Entry level,High School or equivalent,,Education,0,14
5393,0,1,1,Full-time,Director,Bachelor's Degree,Apparel & Fashion,Human Resources,0,11
5394,0,1,0,Other,Not Applicable,,E-Learning,Customer Service,0,15
5395,0,0,1,,,,,,0,8
5396,0,1,0,Full-time,Associate,Bachelor's Degree,Insurance,General Business,0,8
5397,0,0,0,Full-time,Entry level,Master's Degree,Information Technology and Services,Consulting,0,6
5398,0,1,1,,,,,,0,9
5399,0,1,0,Temporary,,Bachelor's Degree,Public Relations and Communications,Administrative,0,5
5400,0,0,0,Full-time,Entry level,Master's Degree,Information Technology and Services,Information Technology,0,8
5401,0,1,0,Full-time,,,Apparel & Fashion,Sales,0,7
5402,0,1,1,,,,,,0,9
5403,0,1,0,Full-time,,,Financial Services,,0,11
5404,0,1,0,Full-time,Mid-Senior level,Some College Coursework Completed,Facilities Services,Management,0,9
5405,1,1,1,,,,,,0,6
5406,0,1,1,Contract,Associate,Bachelor's Degree,Internet,Accounting/Auditing,0,7
5407,0,1,1,Full-time,Mid-Senior level,,Internet,,0,13
5408,1,1,0,Contract,Not Applicable,Unspecified,Computer Software,Information Technology,0,8
5409,0,1,0,Full-time,,Bachelor's Degree,,Engineering,0,7
5410,0,1,0,Full-time,,,Financial Services,,0,12
5411,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Sales,0,6
5412,0,1,0,,,,,,0,12
5413,0,0,0,Full-time,,,Telecommunications,Administrative,1,9
5414,0,1,1,Full-time,,,Internet,Accounting/Auditing,0,12
5415,0,0,0,Full-time,Entry level,High School or equivalent,Construction,,0,11
5416,0,0,0,,,,,,0,15
5417,0,1,1,,,,,,0,9
5418,0,0,0,,,,,,1,16
5419,0,1,1,,,,,,0,10
5420,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,,0,12
5421,0,1,0,Contract,Director,Professional,Financial Services,Writing/Editing,0,17
5422,0,1,1,,Internship,,,,0,6
5423,0,1,1,Part-time,,,,,0,16
5424,0,1,0,Full-time,Associate,Bachelor's Degree,Hospital & Health Care,Marketing,0,12
5425,0,1,0,,,,,,0,8
5426,0,0,1,,,,,,0,18
5427,0,0,1,,,,,,0,19
5428,0,0,1,,,,,,0,13
5429,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,13
5430,0,1,0,,,,,,0,7
5431,0,0,1,,,,,,0,16
5432,0,0,0,,,,,,1,14
5433,0,1,1,Full-time,Associate,Unspecified,Publishing,Sales,0,13
5434,0,0,1,,,,,,1,14
5435,0,0,0,Full-time,,,Mechanical or Industrial Engineering,Engineering,1,10
5436,0,1,0,Full-time,Associate,,Hospital & Health Care,Marketing,0,6
5437,0,1,1,Part-time,Entry level,Bachelor's Degree,Education Management,Education,0,8
5438,1,1,1,,,,,,0,5
5439,0,0,1,,,,,,0,10
5440,0,1,1,Full-time,Not Applicable,,Internet,Information Technology,0,6
5441,0,1,1,,,,,,1,47
5442,0,1,1,Full-time,Mid-Senior level,Associate Degree,Automotive,Engineering,1,18
5443,0,1,1,Full-time,Mid-Senior level,Associate Degree,Automotive,Engineering,1,17
5444,0,1,0,Full-time,Executive,,Hospitality,Other,1,11
5445,0,1,1,Full-time,Entry level,Bachelor's Degree,Internet,Consulting,0,9
5446,0,1,0,Full-time,Entry level,High School or equivalent,Food & Beverages,Production,0,12
5447,0,0,1,Full-time,Not Applicable,High School or equivalent,Financial Services,Customer Service,0,10
5448,0,1,1,,,,,,0,11
5449,0,1,0,,,,,,0,12
5450,0,0,1,,,,,,1,10
5451,1,0,0,,,,,,1,7
5452,0,0,1,,,,,,0,19
5453,1,0,1,,,,,,0,24
5454,0,0,0,,,,,,0,13
5455,0,1,1,,,,,,0,14
5456,0,0,1,,,,,,0,6
5457,0,1,1,,,,,,0,13
5458,0,1,1,,,,,,0,9
5459,0,1,0,Part-time,Entry level,High School or equivalent,Telecommunications,Customer Service,0,10
5460,0,0,1,,,,,,0,12
5461,0,0,0,,,,,,0,16
5462,0,1,1,,,,,,0,15
5463,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Human Resources,0,10
5464,0,1,1,,,,,,0,7
5465,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Sales,0,13
5466,0,0,1,,,,,,0,7
5467,0,1,1,Part-time,Entry level,High School or equivalent,Facilities Services,,0,21
5468,0,0,1,,,,,,0,13
5469,0,1,1,,,,,,0,9
5470,0,1,0,,,,,,0,10
5471,0,1,1,,,,,,0,8
5472,0,1,1,Full-time,Mid-Senior level,Master's Degree,Marketing and Advertising,Engineering,1,8
5473,0,1,1,Part-time,Entry level,High School or equivalent,Hospital & Health Care,Administrative,0,17
5474,0,1,0,Full-time,Not Applicable,Unspecified,,Sales,0,14
5475,0,1,1,,,,,,0,11
5476,0,1,0,Full-time,Entry level,,Financial Services,,0,12
5477,0,0,1,Contract,Entry level,High School or equivalent,Hospitality,Customer Service,0,12
5478,0,1,1,Full-time,Mid-Senior level,High School or equivalent,Retail,Customer Service,0,8
5479,0,0,1,Full-time,Entry level,High School or equivalent,,Customer Service,0,11
5480,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Retail,Financial Analyst,0,13
5481,0,1,0,,,,,,0,10
5482,0,0,0,,,,,,0,5
5483,0,1,0,,,,,,0,7
5484,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Accounting,Accounting/Auditing,0,13
5485,1,1,1,Full-time,Mid-Senior level,Unspecified,Printing,Sales,0,7
5486,0,1,1,,,,,,0,12
5487,0,1,1,,,,,,0,12
5488,0,1,1,,,,,,0,10
5489,0,1,1,Full-time,,Unspecified,Retail,,0,12
5490,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,25
5491,0,1,1,Full-time,,,,Quality Assurance,0,11
5492,0,1,1,,,,,,0,9
5493,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,15
5494,0,1,0,Temporary,Entry level,Bachelor's Degree,Sports,Customer Service,0,11
5495,0,0,0,,,,,,1,36
5496,0,0,0,Full-time,,,,,0,11
5497,0,1,1,,,,,,0,6
5498,0,0,0,,,,,,1,33
5499,0,0,1,,,,,,1,20
5500,1,0,0,Full-time,,,Information Technology and Services,Sales,0,12
5501,0,1,0,,,,,,0,18
5502,0,0,0,,,,,,1,33
5503,0,1,0,,,,,,0,10
5504,0,1,1,Full-time,Director,Master's Degree,Marketing and Advertising,Engineering,1,9
5505,0,0,0,,,,,,1,33
5506,0,0,0,,,,,,1,33
5507,0,1,1,Full-time,Mid-Senior level,Doctorate,Medical Practice,,0,8
5508,0,1,1,Full-time,Not Applicable,High School or equivalent,,Administrative,0,13
5509,0,1,1,Full-time,Mid-Senior level,,Internet,Information Technology,0,11
5510,0,0,0,,,,,,1,33
5511,0,0,0,,,,,,1,33
5512,0,1,1,Full-time,Executive,Bachelor's Degree,Financial Services,Business Development,0,10
5513,0,0,0,,,,,,1,33
5514,0,1,1,Full-time,Director,,Financial Services,Marketing,0,16
5515,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Hospital & Health Care,Health Care Provider,0,7
5516,0,0,0,,,,,,1,30
5517,0,1,0,Temporary,Associate,,Information Technology and Services,Information Technology,0,10
5518,0,0,0,,,,,,1,30
5519,0,0,0,,,,,,1,30
5520,0,0,0,,,,,,1,30
5521,0,1,1,Full-time,Entry level,Bachelor's Degree,Media Production,Marketing,0,8
5522,0,0,0,,,,,,1,30
5523,0,0,0,,,,,,1,30
5524,1,0,0,,,,,,1,13
5525,0,1,0,Full-time,Not Applicable,,Construction,,0,7
5526,0,0,0,,,,,,1,30
5527,0,1,1,,,,,,0,12
5528,0,1,1,,,,,,0,7
5529,0,0,0,Full-time,Not Applicable,Unspecified,,Administrative,1,19
5530,0,1,1,,,,,,0,15
5531,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Finance,0,14
5532,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Design,,0,7
5533,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Human Resources,Human Resources,0,12
5534,0,1,1,Contract,Associate,Unspecified,Banking,Human Resources,0,10
5535,0,1,1,,Not Applicable,High School or equivalent,Human Resources,Human Resources,0,14
5536,0,1,0,Full-time,,,Information Technology and Services,Engineering,0,10
5537,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Sales,0,7
5538,0,1,1,Full-time,Associate,Bachelor's Degree,Publishing,Accounting/Auditing,0,6
5539,0,1,0,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0,12
5540,0,1,1,Full-time,Associate,Bachelor's Degree,Defense & Space,,0,8
5541,0,1,0,Part-time,,,Computer Software,,0,11
5542,0,0,1,,,,Restaurants,Customer Service,0,9
5543,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0,10
5544,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Design,0,11
5545,0,1,0,,,,,,0,9
5546,0,1,0,,,,,Sales,0,12
5547,0,0,1,,,,,,0,12
5548,0,1,0,,,,,,0,12
5549,0,1,0,Full-time,Entry level,Unspecified,Consumer Services,Customer Service,0,11
5550,0,1,1,Full-time,Entry level,High School or equivalent,Transportation/Trucking/Railroad,Distribution,0,12
5551,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Administrative,0,8
5552,0,0,1,Contract,Associate,Master's Degree,Banking,Finance,0,16
5553,0,0,0,Full-time,,,,,0,12
5554,0,1,1,,,,,,0,13
5555,0,1,1,Full-time,Director,Bachelor's Degree,Internet,Marketing,0,13
5556,1,1,1,Contract,,,,,0,2
5557,0,1,1,Full-time,,,Information Technology and Services,,0,16
5558,0,1,1,Full-time,Director,Master's Degree,Internet,Management,0,11
5559,0,1,1,,,,,,0,7
5560,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0,8
5561,0,1,1,Part-time,Entry level,Unspecified,Internet,Finance,0,13
5562,0,1,0,Full-time,,High School or equivalent,Accounting,Administrative,1,11
5563,0,0,1,,,,,,0,14
5564,0,1,1,,,,,,0,13
5565,0,0,1,,,,,,0,15
5566,0,0,0,Full-time,Entry level,Bachelor's Degree,Oil & Energy,Administrative,1,10
5567,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Other,1,6
5568,0,1,0,Full-time,Entry level,High School or equivalent,Hospital & Health Care,Customer Service,0,9
5569,0,1,0,,,,,,0,11
5570,0,1,1,,,,,,0,6
5571,0,1,1,Full-time,Mid-Senior level,,Information Technology and Services,Sales,0,9
5572,0,0,0,,,,,,1,6
5573,0,0,1,,,,,,1,9
5574,0,0,0,Full-time,,,Accounting,Sales,0,17
5575,0,1,0,Full-time,,Bachelor's Degree,Telecommunications,Marketing,0,12
5576,0,1,1,Full-time,Not Applicable,Unspecified,Hospital & Health Care,Health Care Provider,0,13
5577,0,0,1,,,,,,1,7
5578,0,0,1,,,,,,1,7
5579,0,1,0,Full-time,,,Financial Services,,0,14
5580,0,1,0,,,,,,0,9
5581,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Information Technology,0,10
5582,0,0,1,,,,,,1,9
5583,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,,Marketing,0,7
5584,0,0,0,Full-time,,,Oil & Energy,Engineering,1,8
5585,0,0,0,,,,,,1,11
5586,0,0,0,,,,,,0,8
5587,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Marketing,0,13
5588,0,0,1,,,,,,0,5
5589,0,1,1,,,,,,0,10
5590,1,0,1,,,,,,0,17
5591,0,1,0,,,,,,0,15
5592,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Marketing,0,18
5593,0,0,1,,,,,,0,15
5594,0,1,1,,,Bachelor's Degree,Pharmaceuticals,Sales,0,6
5595,0,1,1,,,,,,0,7
5596,0,0,1,,,,,,0,13
5597,0,1,0,Full-time,Entry level,Associate Degree,Veterinary,Customer Service,0,4
5598,0,1,1,,Not Applicable,High School or equivalent,,,0,15
5599,1,1,1,,,,,,0,9
5600,0,0,0,Full-time,,Unspecified,,Administrative,1,7
5601,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Accounting/Auditing,0,8
5602,0,1,0,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Human Resources,0,4
5603,0,1,0,,,,,,0,14
5604,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Project Management,0,11
5605,0,1,1,Full-time,Not Applicable,Certification,Computer & Network Security,Consulting,0,7
5606,0,1,1,Full-time,Mid-Senior level,Unspecified,Computer Software,Engineering,0,9
5607,1,0,1,,,,,,0,9
5608,0,1,1,Contract,,Bachelor's Degree,Education Management,Education,0,23
5609,0,1,1,,,,,,0,6
5610,0,0,0,Full-time,,,"Health, Wellness and Fitness",Sales,1,14
5611,0,0,0,Full-time,Not Applicable,,Financial Services,Sales,0,12
5612,0,0,1,,,,,,0,10
5613,0,1,1,Full-time,Mid-Senior level,Unspecified,Internet,Accounting/Auditing,0,9
5614,0,1,1,,,,,,0,14
5615,0,1,1,,,,,,0,10
5616,0,1,1,,,,,,0,11
5617,0,0,1,Contract,Not Applicable,,Insurance,Accounting/Auditing,0,19
5618,0,1,0,Full-time,,,Security and Investigations,Sales,0,10
5619,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Venture Capital & Private Equity,,0,13
5620,0,1,0,Full-time,Director,Bachelor's Degree,Computer Software,Finance,0,10
5621,0,1,0,Full-time,Mid-Senior level,,Information Technology and Services,Human Resources,0,12
5622,0,0,1,Full-time,Mid-Senior level,,Information Technology and Services,Sales,0,17
5623,0,1,1,Full-time,Internship,,Internet,Marketing,0,11
5624,0,1,1,Other,,,E-Learning,Other,0,10
5625,0,1,0,Full-time,Entry level,Bachelor's Degree,Telecommunications,Accounting/Auditing,0,11
5626,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Engineering,0,11
5627,0,0,0,Full-time,Internship,High School or equivalent,Accounting,Customer Service,1,26
5628,0,1,1,Full-time,Entry level,Bachelor's Degree,Telecommunications,,0,12
5629,0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Engineering,0,5
5630,0,0,1,,,,,,0,15
5631,0,1,1,Full-time,,Bachelor's Degree,Marketing and Advertising,,0,4
5632,0,1,1,Contract,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0,9
5633,0,1,1,Full-time,,Bachelor's Degree,Marketing and Advertising,Accounting/Auditing,0,10
5634,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Sales,0,15
5635,0,0,1,Contract,Not Applicable,Bachelor's Degree,Information Technology and Services,Information Technology,0,4
5636,0,1,1,,,,,,0,2
5637,0,1,1,Contract,Entry level,Bachelor's Degree,Investment Management,Marketing,0,17
5638,0,1,1,Full-time,Not Applicable,Unspecified,Marketing and Advertising,Management,0,14
5639,0,1,0,Full-time,,,Information Technology and Services,,0,8
5640,0,0,1,Full-time,,,Marketing and Advertising,Sales,0,7
5641,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Accounting/Auditing,0,8
5642,0,0,0,Full-time,Entry level,Unspecified,Financial Services,Sales,0,14
5643,0,0,0,Full-time,,,,Customer Service,0,6
5644,0,1,1,,Not Applicable,Unspecified,Information Technology and Services,Accounting/Auditing,0,19
5645,0,1,1,,,,,,0,14
5646,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Information Technology,0,10
5647,0,1,1,Full-time,Associate,Bachelor's Degree,Internet,Marketing,0,9
5648,0,1,1,Full-time,Mid-Senior level,,Internet,Engineering,0,12
5649,1,0,0,Full-time,,,Real Estate,,0,2
5650,0,1,1,Full-time,,,Internet,Accounting/Auditing,0,4
5651,0,1,1,Contract,,Bachelor's Degree,Education Management,,0,21
5652,0,1,0,Full-time,,,Security and Investigations,Sales,0,11
5653,0,1,0,Full-time,,,Information Technology and Services,Human Resources,0,8
5654,0,1,1,Full-time,Not Applicable,Unspecified,Hospital & Health Care,Health Care Provider,0,13
5655,0,1,0,Full-time,Entry level,High School or equivalent,Consumer Services,Customer Service,0,10
5656,0,1,1,Full-time,Mid-Senior level,,Internet,Engineering,0,9
5657,0,1,1,,,,,,0,8
5658,0,1,1,Full-time,Associate,Certification,E-Learning,Engineering,0,13
5659,0,1,0,Full-time,Mid-Senior level,Unspecified,Computer Software,Engineering,0,7
5660,0,1,1,Full-time,Mid-Senior level,,Human Resources,Accounting/Auditing,0,9
5661,0,0,0,Part-time,,High School or equivalent,E-Learning,Accounting/Auditing,1,16
5662,0,1,1,Full-time,Not Applicable,Unspecified,Computer Software,Customer Service,0,14
5663,0,1,1,Full-time,,,Financial Services,,0,12
5664,0,1,0,Full-time,Not Applicable,High School or equivalent,Automotive,Accounting/Auditing,0,9
5665,0,1,0,Contract,,Bachelor's Degree,Education Management,,0,26
5666,0,1,1,,,,,,0,8
5667,0,1,1,Contract,,,,,0,12
5668,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Accounting/Auditing,0,9
5669,0,1,0,Full-time,Not Applicable,Unspecified,Consumer Services,Management,0,11
5670,0,1,1,Full-time,Entry level,,Marketing and Advertising,Design,0,9
5671,0,1,1,Full-time,,Bachelor's Degree,Information Technology and Services,Quality Assurance,0,6
5672,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Computer Software,Engineering,1,6
5673,0,1,0,Temporary,Associate,Associate Degree,Hospital & Health Care,Customer Service,0,6
5674,0,1,1,Full-time,Entry level,,Public Relations and Communications,Accounting/Auditing,0,13
5675,0,1,1,Full-time,Mid-Senior level,,Computer Software,,0,11
5676,0,1,0,Full-time,Mid-Senior level,,Marketing and Advertising,Marketing,0,10
5677,0,0,0,Full-time,Mid-Senior level,,Nonprofit Organization Management,Business Development,0,14
5678,0,1,0,,,,,,0,5
5679,0,0,0,Full-time,Associate,Associate Degree,International Trade and Development,Administrative,0,10
5680,0,0,0,Full-time,Mid-Senior level,,Nonprofit Organization Management,Marketing,0,9
5681,1,1,1,Contract,,Unspecified,,Sales,0,22
5682,0,1,1,Full-time,Associate,Bachelor's Degree,Computer Software,Sales,0,8
5683,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Telecommunications,Business Development,0,11
5684,0,1,0,,,,,,0,11
